State_x,County_x,Obesity_Rate,FIPS,State_y,County_y,fast_food_density
CA,Orange,25.7,6059,CA,Orange,0.970046937
AL,Baldwin,36.8,1003,AL,Baldwin,0.750151575
CA,Siskiyou,32.9,6093,CA,Siskiyou,0.71684587
CA,Sonoma,28.3,6097,CA,Sonoma,0.645136237
AR,Johnson,39.1,5071,AR,Johnson,0.64119488
AL,Randolph,40.9,1111,AL,Randolph,0.436300188
CA,Los Angeles,26.2,6037,CA,Los Angeles,0.879006267
AK,Ketchikan Gateway,34.3,2130,AK,Ketchikan Gateway,0.872917712
AK,Denali,30.8,2068,AK,Denali,1.441614628
AL,Cullman,39.7,1043,AL,Cullman,0.816423118
AL,Franklin,39.6,1059,AL,Franklin,0.507823646
AR,Woodruff,41.3,5147,AR,Woodruff,0.638569593
AK,Juneau,32.8,2110,AK,Juneau,0.879148483
AR,Marion,36.8,5089,AR,Marion,0.416914821
AL,Russell,46.9,1113,AL,Russell,0.910074353
AZ,Yavapai,27.7,4025,AZ,Yavapai,0.582784534
CA,Santa Barbara,31.6,6083,CA,Santa Barbara,0.847636759
AL,Clay,39.6,1027,AL,Clay,0.381330073
AR,Sebastian,35.9,5131,AR,Sebastian,0.830786109
CA,Mendocino,29.4,6045,CA,Mendocino,0.720419228
AZ,Cochise,32.9,4003,AZ,Cochise,0.502157688
AL,Mobile,42.2,1097,AL,Mobile,0.780197501
CA,San Diego,25.4,6073,CA,San Diego,0.853432059
AL,Escambia,43.5,1053,AL,Escambia,0.88200438
CA,San Bernardino,35.1,6071,CA,San Bernardino,0.773347855
AZ,Yuma,42.3,4027,AZ,Yuma,0.619766414
AL,Pike,40.6,1109,AL,Pike,1.061699986
AL,Walker,42.9,1127,AL,Walker,0.744342208
AK,Sitka,32.3,2220,AK,Sitka,0.356930405
AR,Franklin,40.1,5047,AR,Franklin,0.335251719
AR,Craighead,37.5,5031,AR,Craighead,0.810726523
AR,Clark,40.4,5019,AR,Clark,0.814369082
AR,Crittenden,41.5,5035,AR,Crittenden,0.77704972
AR,Carroll,35.6,5015,AR,Carroll,0.495119542
AR,Nevada,41.5,5099,AR,Nevada,0.370416105
AR,Lee,44.9,5077,AR,Lee,0.35240221
AR,Fulton,39.0,5049,AR,Fulton,0.242306754
AR,Little River,38.9,5081,AR,Little River,0.656814456
AK,Petersburg,30.4,2195,AK,Petersburg,1.516990304
AL,DeKalb,38.9,1049,AL,DeKalb,0.544251859
AR,Monroe,43.4,5095,AR,Monroe,1.518833518
CA,Plumas,29.1,6063,CA,Plumas,0.579954684
AR,Izard,36.9,5065,AR,Izard,0.293836772
AR,Howard,39.7,5061,AR,Howard,0.839118183
CA,Imperial,38.5,6025,CA,Imperial,0.610205948
CA,Madera,35.2,6039,CA,Madera,0.507096171
AL,Henry,38.3,1067,AL,Henry,0.638680816
AR,Lawrence,41.5,5075,AR,Lawrence,0.304692268
CA,Contra Costa,28.4,6013,CA,Contra Costa,0.678623259
AK,Fairbanks North Star,32.1,2090,AK,Fairbanks North Star,0.449550986
AR,Poinsett,40.8,5111,AR,Poinsett,0.687196672
AL,Tallapoosa,41.9,1123,AL,Tallapoosa,0.647845924
AL,Dale,44.3,1045,AL,Dale,0.612757623
CA,Lassen,32.8,6035,CA,Lassen,0.533049047
AL,Autauga,38.4,1001,AL,Autauga,0.801496148
CA,Merced,34.5,6047,CA,Merced,0.529987276
AL,Choctaw,45.8,1023,AL,Choctaw,0.644226134
AK,Matanuska-Susitna,31.4,2170,AK,Matanuska-Susitna,0.426446974
CA,Fresno,39.0,6019,CA,Fresno,0.731328666
AL,Calhoun,38.3,1015,AL,Calhoun,0.916549921
AR,Van Buren,37.0,5141,AR,Van Buren,0.483646691
CA,Amador,27.3,6005,CA,Amador,0.573809326
CA,San Mateo,21.4,6081,CA,San Mateo,0.767498195
CA,Nevada,29.9,6057,CA,Nevada,0.622452438
AK,Kenai Peninsula,32.0,2122,AK,Kenai Peninsula,0.757397234
AK,North Slope,40.7,2185,AK,North Slope,0.430385202
AZ,Navajo,38.5,4017,AZ,Navajo,0.651134551
CA,Inyo,29.9,6027,CA,Inyo,0.997450948
AL,Montgomery,44.6,1101,AL,Montgomery,1.112896681
CA,Sacramento,33.9,6067,CA,Sacramento,0.772217631
AL,Geneva,38.2,1061,AL,Geneva,0.567945182
AR,Arkansas,40.9,5001,AR,Arkansas,0.690329611
AR,Saline,37.2,5125,AR,Saline,0.556595266
AK,Southeast Fairbanks,37.3,2240,AK,Southeast Fairbanks,0.57496047
AL,Elmore,36.4,1051,AL,Elmore,0.632926822
AL,Morgan,38.7,1103,AL,Morgan,0.78409785
AR,St. Francis,44.5,5123,AR,St. Francis,0.445668906
AR,Madison,36.0,5087,AR,Madison,0.300408542
AL,Houston,37.5,1069,AL,Houston,1.135297418
CA,Kings,31.9,6031,CA,Kings,0.674560547
AL,Blount,37.3,1009,AL,Blount,0.414658159
AL,Talladega,42.6,1121,AL,Talladega,0.66262424
AR,Cleburne,36.6,5023,AR,Cleburne,0.92239821
AL,Etowah,41.3,1055,AL,Etowah,0.830313265
CA,El Dorado,24.8,6017,CA,El Dorado,0.673837006
AR,Dallas,44.0,5039,AR,Dallas,0.441046745
AL,Madison,35.7,1089,AL,Madison,0.956640244
AR,Drew,41.6,5043,AR,Drew,0.778772891
CA,San Joaquin,33.8,6077,CA,San Joaquin,0.658882499
AR,Jefferson,44.5,5069,AR,Jefferson,0.887162149
AR,Columbia,41.1,5027,AR,Columbia,0.900090039
AL,Marion,39.5,1093,AL,Marion,0.908999085
AL,Crenshaw,40.3,1041,AL,Crenshaw,0.51165849
AR,Lafayette,42.9,5073,AR,Lafayette,0.45482111
AL,St. Clair,33.0,1115,AL,St. Clair,0.694299042
AR,Stone,37.2,5137,AR,Stone,0.710115194
AZ,Santa Cruz,32.4,4023,AZ,Santa Cruz,0.320458055
AK,Haines,32.6,2100,AK,Haines,1.530221939
AL,Macon,47.7,1087,AL,Macon,0.72645992
CA,San Francisco,17.7,6075,CA,San Francisco,1.152773023
AL,Fayette,39.2,1057,AL,Fayette,0.554153085
AR,Jackson,40.6,5067,AR,Jackson,0.420774221
AL,Cherokee,40.2,1019,AL,Cherokee,0.684566796
CA,Calaveras,29.4,6009,CA,Calaveras,0.60464716
CA,Del Norte,33.8,6015,CA,Del Norte,0.321796328
AL,Barbour,43.8,1005,AL,Barbour,0.976046205
AR,Grant,35.5,5053,AR,Grant,0.271017402
AR,Hempstead,41.2,5057,AR,Hempstead,0.799887061
AL,Tuscaloosa,41.4,1125,AL,Tuscaloosa,0.849315345
AR,Ouachita,42.5,5103,AR,Ouachita,0.64747268
CA,Shasta,28.7,6089,CA,Shasta,0.714975953
AL,Sumter,45.2,1119,AL,Sumter,0.654396713
AR,Yell,38.7,5149,AR,Yell,0.519333363
AR,Boone,39.4,5009,AR,Boone,0.637873769
AL,Jefferson,39.7,1073,AL,Jefferson,1.040678024
AR,Pope,36.1,5115,AR,Pope,0.854913414
CA,Humboldt,33.1,6023,CA,Humboldt,0.622328222
AR,Sevier,41.5,5133,AR,Sevier,0.41911149
AL,Conecuh,44.7,1035,AL,Conecuh,0.67504853
AR,Randolph,37.4,5121,AR,Randolph,0.493231773
AR,Logan,37.7,5083,AR,Logan,0.513778627
CA,Alameda,19.4,6001,CA,Alameda,0.827155709
CA,San Benito,29.1,6069,CA,San Benito,0.515182257
AZ,Maricopa,32.7,4013,AZ,Maricopa,0.739012897
CO,Gunnison,23.7,8051,CO,Gunnison,0.909452617
GA,Heard,41.0,13149,GA,Heard,0.250563771
GA,Burke,44.8,13033,GA,Burke,0.618156135
FL,Hardee,40.3,12049,FL,Hardee,0.410111099
FL,Pinellas,32.2,12103,FL,Pinellas,0.740170479
GA,Houston,39.3,13153,GA,Houston,0.95559305
CO,Douglas,20.9,8035,CO,Douglas,0.620928645
FL,DeSoto,44.2,12027,FL,DeSoto,0.311526477
GA,Emanuel,42.7,13107,GA,Emanuel,0.755320549
FL,Pasco,34.7,12101,FL,Pasco,0.473342061
FL,St. Johns,26.5,12109,FL,St. Johns,0.627881527
FL,Columbia,38.3,12023,FL,Columbia,0.715721071
GA,Coweta,44.1,13077,GA,Coweta,0.662914574
GA,Berrien,38.7,13019,GA,Berrien,0.463726312
FL,Gulf,38.4,12045,FL,Gulf,0.591103911
GA,Habersham,36.8,13137,GA,Habersham,0.651508212
CO,Rio Grande,26.4,8105,CO,Rio Grande,0.354107648
FL,Osceola,31.0,12097,FL,Osceola,0.713701785
GA,Lamar,41.5,13171,GA,Lamar,0.41534707
GA,Chattooga,39.0,13055,GA,Chattooga,0.523286223
GA,Dooly,44.0,13093,GA,Dooly,0.759070873
GA,Camden,38.1,13039,GA,Camden,0.794395924
CO,Moffat,29.6,8081,CO,Moffat,0.760803401
FL,Nassau,32.5,12089,FL,Nassau,0.669498324
CO,Denver,23.8,8031,CO,Denver,0.895942807
CO,Larimer,21.1,8069,CO,Larimer,0.793501079
CO,Chaffee,25.3,8015,CO,Chaffee,1.113208413
GA,Columbia,36.0,13073,GA,Columbia,0.68588388
CO,Alamosa,31.9,8003,CO,Alamosa,0.988875151
CO,Archuleta,24.9,8007,CO,Archuleta,0.563539028
CO,Boulder,18.6,8013,CO,Boulder,0.886386633
FL,Flagler,33.4,12035,FL,Flagler,0.481211632
GA,Bleckley,42.0,13023,GA,Bleckley,0.69471246
FL,Hamilton,39.5,12047,FL,Hamilton,0.413194686
FL,Broward,31.8,12011,FL,Broward,0.72161603
CO,San Juan,27.4,8111,CO,San Juan,6.684492111
CO,Teller,26.9,8119,CO,Teller,0.626738191
FL,Martin,27.6,12085,FL,Martin,0.703321636
FL,Suwannee,44.8,12121,FL,Suwannee,0.512809098
FL,Gadsden,44.3,12039,FL,Gadsden,0.530070484
GA,Candler,44.0,13043,GA,Candler,0.910332263
CA,Tulare,38.0,6107,CA,Tulare,0.614491761
CO,Garfield,26.7,8045,CO,Garfield,0.844846427
FL,Orange,32.8,12095,FL,Orange,0.854459882
GA,Brooks,42.1,13027,GA,Brooks,0.520935059
DE,New Castle,37.6,10003,DE,New Castle,0.854805887
CA,Tuolumne,31.0,6109,CA,Tuolumne,0.476932943
GA,Hall,35.0,13139,GA,Hall,0.692188919
GA,Decatur,39.8,13087,GA,Decatur,0.907132328
GA,Effingham,38.6,13103,GA,Effingham,0.456169695
GA,Crisp,44.8,13081,GA,Crisp,1.043841362
GA,Hancock,47.5,13141,GA,Hancock,0.588650823
GA,Harris,32.7,13145,GA,Harris,0.277161866
GA,Coffee,41.4,13069,GA,Coffee,0.786709249
FL,Clay,35.6,12019,FL,Clay,0.60873878
CA,Stanislaus,34.7,6099,CA,Stanislaus,0.707168579
FL,Wakulla,37.3,12129,FL,Wakulla,0.349660546
FL,Escambia,32.6,12033,FL,Escambia,0.663845837
GA,Liberty,45.9,13179,GA,Liberty,1.047552586
FL,Washington,41.1,12133,FL,Washington,0.694123089
FL,Brevard,32.9,12009,FL,Brevard,0.619598031
GA,Butts,40.2,13035,GA,Butts,0.707936764
FL,Dixie,43.6,12029,FL,Dixie,0.410388708
GA,Fannin,38.9,13111,GA,Fannin,0.829531312
FL,Okaloosa,33.6,12091,FL,Okaloosa,0.883375645
CA,Tehama,32.5,6103,CA,Tehama,0.511675477
FL,Marion,39.1,12083,FL,Marion,0.527424753
GA,DeKalb,33.5,13089,GA,DeKalb,0.864819169
FL,Bay,35.3,12005,FL,Bay,0.904729128
GA,Early,45.1,13099,GA,Early,0.896682262
GA,Haralson,33.8,13143,GA,Haralson,0.592436552
FL,Monroe,29.7,12087,FL,Monroe,0.906630576
GA,Greene,39.2,13133,GA,Greene,0.53087008
FL,Collier,27.4,12021,FL,Collier,0.572558403
GA,Chatham,36.1,13051,GA,Chatham,1.074403286
FL,Hillsborough,31.4,12057,FL,Hillsborough,0.61884284
FL,Okeechobee,40.1,12093,FL,Okeechobee,0.378277421
GA,Clinch,44.9,13065,GA,Clinch,0.911577046
GA,Dougherty,44.4,13095,GA,Dougherty,1.133249283
FL,Seminole,31.4,12117,FL,Seminole,0.784527123
GA,Dawson,34.7,13085,GA,Dawson,1.327776313
FL,Sumter,35.1,12119,FL,Sumter,0.273345888
GA,Jackson,41.5,13157,GA,Jackson,0.511817753
FL,St. Lucie,34.7,12111,FL,St. Lucie,0.507138491
CA,Ventura,28.9,6111,CA,Ventura,0.772533894
CO,Prowers,31.6,8099,CO,Prowers,1.073847651
CO,Montezuma,30.2,8083,CO,Montezuma,0.643744349
GA,Catoosa,36.6,13047,GA,Catoosa,0.779457629
FL,Jackson,42.7,12063,FL,Jackson,0.650971055
GA,Laurens,41.5,13175,GA,Laurens,0.926081836
FL,Gilchrist,36.9,12041,FL,Gilchrist,0.423616618
GA,Bartow,37.8,13015,GA,Bartow,0.685394704
CO,Fremont,29.2,8043,CO,Fremont,0.355150729
FL,Madison,36.5,12079,FL,Madison,0.588015199
CO,Jefferson,24.9,8059,CO,Jefferson,0.730348706
FL,Indian River,33.0,12061,FL,Indian River,0.541478455
FL,Putnam,39.8,12107,FL,Putnam,0.454454333
GA,Gordon,40.0,13129,GA,Gordon,0.663491011
GA,Jefferson,44.2,13163,GA,Jefferson,0.786009014
FL,Leon,33.1,12073,FL,Leon,1.011981368
GA,Charlton,42.2,13049,GA,Charlton,0.446760982
FL,Lee,31.1,12071,FL,Lee,0.541246653
GA,Crawford,41.1,13079,GA,Crawford,0.245278388
CO,San Miguel,24.7,8113,CO,San Miguel,1.480567575
GA,Floyd,40.1,13115,GA,Floyd,0.821467698
CO,Weld,31.2,8123,CO,Weld,0.541943729
CO,Adams,34.0,8001,CO,Adams,0.673228383
CO,Routt,24.4,8107,CO,Routt,0.899843514
FL,Alachua,33.0,12001,FL,Alachua,0.796407342
GA,Brantley,39.2,13025,GA,Brantley,0.312467456
GA,Baldwin,39.8,13009,GA,Baldwin,1.064325094
GA,Johnson,42.8,13167,GA,Johnson,0.517223537
CA,Yuba,32.6,6115,CA,Yuba,0.399201602
CA,Sutter,32.0,6101,CA,Sutter,0.66400373
CO,Broomfield,24.6,8014,CO,Broomfield,1.010576487
CO,Clear Creek,25.7,8019,CO,Clear Creek,0.938869178
CO,Park,25.3,8093,CO,Park,0.26378265
CO,Arapahoe,25.7,8005,CO,Arapahoe,0.765074849
GA,Clayton,45.4,13063,GA,Clayton,0.731258929
FL,Sarasota,28.8,12115,FL,Sarasota,0.469033629
CO,Mesa,30.3,8077,CO,Mesa,0.687647402
CO,Otero,31.6,8089,CO,Otero,0.769188523
CO,Delta,29.0,8029,CO,Delta,0.611581445
CO,Lincoln,30.3,8073,CO,Lincoln,0.704225361
GA,Hart,36.1,13147,GA,Hart,0.53018254
GA,Gwinnett,33.3,13135,GA,Gwinnett,0.972813189
GA,Barrow,39.9,13013,GA,Barrow,0.490722984
CO,Lake,26.2,8065,CO,Lake,0.500813842
CO,Eagle,22.6,8037,CO,Eagle,0.928471327
FL,Baker,37.6,12003,FL,Baker,0.541162133
FL,Holmes,36.3,12059,FL,Holmes,0.25518015
CO,Rio Blanco,27.9,8103,CO,Rio Blanco,0.630715847
GA,Jeff Davis,41.3,13161,GA,Jeff Davis,0.65733254
CO,Morgan,31.3,8087,CO,Morgan,0.760167241
FL,Volusia,33.9,12127,FL,Volusia,0.605524182
CO,Las Animas,31.6,8071,CO,Las Animas,1.248266339
GA,Lee,36.7,13177,GA,Lee,0.496130198
CO,Phillips,30.6,8095,CO,Phillips,0.686970472
FL,Walton,31.1,12131,FL,Walton,0.782799304
GA,Bryan,37.1,13029,GA,Bryan,0.736105978
CO,Yuma,27.9,8125,CO,Yuma,0.298596591
CO,Grand,24.9,8049,CO,Grand,1.07635808
CO,Summit,22.7,8117,CO,Summit,1.632333279
GA,Grady,41.8,13131,GA,Grady,0.653301239
FL,Franklin,37.6,12037,FL,Franklin,0.409802467
GA,Dade,36.0,13083,GA,Dade,0.747337639
GA,Forsyth,31.3,13117,GA,Forsyth,0.68966341
GA,Fulton,30.0,13121,GA,Fulton,1.132353544
FL,Charlotte,34.4,12015,FL,Charlotte,0.400593698
FL,Calhoun,43.6,12013,FL,Calhoun,0.497229725
GA,Dodge,44.6,13091,GA,Dodge,0.488949746
CO,Elbert,25.0,8039,CO,Elbert,0.183063015
FL,Highlands,36.2,12055,FL,Highlands,0.478249043
CO,Pitkin,21.1,8097,CO,Pitkin,1.341231704
GA,Bibb,48.5,13021,GA,Bibb,1.185043573
CO,Kit Carson,30.2,8063,CO,Kit Carson,0.983008027
GA,Clarke,37.0,13059,GA,Clarke,0.970304012
CO,Huerfano,28.7,8055,CO,Huerfano,0.581141949
FL,Bradford,38.8,12007,FL,Bradford,0.559577525
FL,Manatee,33.9,12081,FL,Manatee,0.481495261
GA,Cobb,28.9,13067,GA,Cobb,0.965994895
FL,Palm Beach,30.5,12099,FL,Palm Beach,0.659326077
GA,Elbert,42.4,13105,GA,Elbert,0.5689165
CO,Pueblo,31.4,8101,CO,Pueblo,0.61240232
GA,Glynn,35.9,13127,GA,Glynn,1.005048633
FL,Hendry,38.6,12051,FL,Hendry,0.490505219
CA,Yolo,28.5,6113,CA,Yolo,0.709968686
GA,Bacon,41.3,13005,GA,Bacon,0.996737957
GA,Jenkins,44.5,13165,GA,Jenkins,0.914703846
GA,Carroll,36.9,13045,GA,Carroll,0.830366731
FL,Duval,33.1,12031,FL,Duval,0.869944811
FL,Union,42.5,12125,FL,Union,0.263469905
GA,Franklin,36.7,13119,GA,Franklin,0.850919008
GA,Chattahoochee,43.1,13053,GA,Chattahoochee,0.568666458
FL,Miami-Dade,30.3,12086,FL,Miami-Dade,0.653417826
DE,Kent,39.3,10001,DE,Kent,0.62076962
GA,Douglas,42.8,13097,GA,Douglas,0.810876548
GA,Jones,39.9,13169,GA,Jones,0.277903229
GA,Cook,40.7,13075,GA,Cook,0.867503345
FL,Hernando,33.4,12053,FL,Hernando,0.523159862
DE,Sussex,38.6,10005,DE,Sussex,0.765617549
GA,Evans,44.8,13109,GA,Evans,0.846023679
GA,Lincoln,37.5,13181,GA,Lincoln,0.373552471
FL,Taylor,42.8,12123,FL,Taylor,0.694444418
FL,Citrus,34.5,12017,FL,Citrus,0.450950921
FL,Santa Rosa,31.1,12113,FL,Santa Rosa,0.586869955
CA,Trinity,32.4,6105,CA,Trinity,0.491159141
GA,Colquitt,40.4,13071,GA,Colquitt,0.658732593
GA,Fayette,31.3,13113,GA,Fayette,0.975643456
GA,Gilmer,36.7,13123,GA,Gilmer,0.656701505
GA,Henry,39.3,13151,GA,Henry,0.790335357
FL,Jefferson,37.9,12065,FL,Jefferson,0.481331229
GA,Banks,36.7,13011,GA,Banks,0.723439455
CO,Logan,30.0,8075,CO,Logan,0.591608286
GA,Cherokee,35.1,13057,GA,Cherokee,0.64838618
GA,Appling,40.7,13001,GA,Appling,0.763983607
GA,Ben Hill,41.9,13017,GA,Ben Hill,0.662092209
CO,Ouray,24.8,8091,CO,Ouray,1.199760079
GA,Atkinson,42.1,13003,GA,Atkinson,0.595734537
GA,Jasper,39.5,13159,GA,Jasper,0.483325273
FL,Polk,41.6,12105,FL,Polk,0.525148034
FL,Levy,38.5,12075,FL,Levy,0.544842958
FL,Lake,34.8,12069,FL,Lake,0.476707906
GA,Lanier,41.1,13173,GA,Lanier,0.465679437
CO,La Plata,24.8,8067,CO,La Plata,0.990028977
ID,Power,37.7,16077,ID,Power,0.523354709
GA,Murray,38.0,13213,GA,Murray,0.674460411
IL,McHenry,34.2,17111,IL,McHenry,0.768255055
GA,Toombs,42.5,13279,GA,Toombs,1.075149179
GA,Morgan,36.1,13211,GA,Morgan,0.967610538
GA,Pickens,36.7,13227,GA,Pickens,0.633924007
ID,Caribou,32.8,16029,ID,Caribou,0.421170861
GA,Treutlen,43.4,13283,GA,Treutlen,0.439753741
IL,Wayne,37.1,17191,IL,Wayne,0.436653972
IL,Mason,35.2,17125,IL,Mason,0.607302845
HI,Honolulu,26.2,15003,HI,Honolulu,1.046869397
HI,Maui,24.1,15009,HI,Maui,0.750437737
ID,Teton,28.8,16081,ID,Teton,0.319974393
GA,Towns,37.0,13281,GA,Towns,0.816526473
IN,Clay,42.3,18021,IN,Clay,0.495313585
IL,Massac,38.0,17127,IL,Massac,0.80668819
IL,Cass,38.5,17017,IL,Cass,0.670859516
IL,Crawford,36.8,17033,IL,Crawford,0.756266177
GA,Madison,39.0,13195,GA,Madison,0.459664434
GA,Wayne,41.3,13305,GA,Wayne,0.732771516
IN,Boone,35.5,18011,IN,Boone,0.6200701
IL,Washington,35.8,17189,IL,Washington,0.508573115
IL,Adams,39.5,17001,IL,Adams,0.52482903
IL,Alexander,43.0,17003,IL,Alexander,0.545752227
IL,Moultrie,35.6,17139,IL,Moultrie,0.209102944
IL,Kankakee,40.3,17091,IL,Kankakee,0.801149249
ID,Bonneville,35.2,16019,ID,Bonneville,0.671393692
GA,Tattnall,46.1,13267,GA,Tattnall,0.512517273
IL,Champaign,35.5,17019,IL,Champaign,0.874794424
IL,DeKalb,35.7,17037,IL,DeKalb,0.880458593
IL,McDonough,39.3,17109,IL,McDonough,0.853387952
IL,Shelby,37.2,17173,IL,Shelby,0.469505608
GA,Oconee,32.9,13219,GA,Oconee,0.778134406
IN,Bartholomew,34.0,18005,IN,Bartholomew,0.793397069
IL,Clinton,35.3,17027,IL,Clinton,0.534787953
GA,Troup,41.5,13285,GA,Troup,0.854530454
ID,Washington,38.5,16087,ID,Washington,0.772200763
ID,Payette,37.4,16075,ID,Payette,0.282588512
ID,Benewah,34.0,16009,ID,Benewah,0.636267245
IN,Floyd,36.4,18043,IN,Floyd,0.861457407
GA,Mitchell,46.8,13205,GA,Mitchell,0.648088157
IL,Marion,38.5,17121,IL,Marion,0.620866537
GA,Upson,41.7,13293,GA,Upson,0.753948808
IL,De Witt,36.5,17039,IL,De Witt,0.780843318
GA,Stephens,37.5,13257,GA,Stephens,0.651166379
IL,Wabash,37.6,17185,IL,Wabash,0.714924037
GA,Thomas,38.7,13275,GA,Thomas,0.8563959
IL,Lee,37.5,17103,IL,Lee,0.624126971
IN,Adams,40.0,18001,IN,Adams,0.502246141
IL,Iroquois,38.3,17075,IL,Iroquois,0.524128616
IL,Winnebago,38.5,17201,IL,Winnebago,0.782097101
IL,Greene,37.5,17061,IL,Greene,0.708549857
IL,Livingston,38.2,17105,IL,Livingston,0.508273542
ID,Gooding,37.4,16047,ID,Gooding,0.512229502
GA,Telfair,45.6,13271,GA,Telfair,0.506938696
ID,Bonner,26.7,16017,ID,Bonner,0.576713562
ID,Nez Perce,35.5,16069,ID,Nez Perce,0.760642886
IL,Jo Daviess,34.2,17085,IL,Jo Daviess,0.47083196
IL,Madison,35.8,17119,IL,Madison,0.753898025
IL,Jefferson,38.8,17081,IL,Jefferson,0.832550049
GA,Seminole,42.4,13253,GA,Seminole,0.372208446
IL,Williamson,38.4,17199,IL,Williamson,0.798012495
IL,Montgomery,36.2,17135,IL,Montgomery,0.641825616
IL,Vermilion,41.0,17183,IL,Vermilion,0.561084747
GA,Long,41.3,13183,GA,Long,0.198304489
GA,Marion,39.9,13197,GA,Marion,0.352278054
GA,Putnam,42.1,13237,GA,Putnam,0.444049746
GA,Tift,41.9,13277,GA,Tift,1.129693747
IL,Bureau,37.8,17011,IL,Bureau,0.309568763
IL,Boone,39.5,17007,IL,Boone,0.56842941
IL,Union,37.6,17181,IL,Union,0.66674751
IN,Allen,38.3,18003,IN,Allen,0.748324752
IN,Brown,36.9,18013,IN,Brown,0.33086288
GA,Meriwether,40.7,13199,GA,Meriwether,0.378000379
GA,Pike,34.2,13231,GA,Pike,0.418388158
GA,Newton,42.3,13217,GA,Newton,0.644335568
IL,Tazewell,35.2,17179,IL,Tazewell,0.80289346
IL,Lawrence,37.8,17101,IL,Lawrence,0.452576458
IL,Douglas,36.7,17041,IL,Douglas,0.871348023
GA,Muscogee,41.7,13215,GA,Muscogee,1.186100721
IL,Clark,35.0,17023,IL,Clark,1.047943354
IL,Will,36.6,17197,IL,Will,0.746305525
IL,Saline,39.6,17165,IL,Saline,0.819601417
IL,Pike,37.3,17149,IL,Pike,0.393726617
ID,Owyhee,34.6,16073,ID,Owyhee,0.741778612
IL,Edgar,37.4,17045,IL,Edgar,0.771147251
IL,Edwards,37.2,17047,IL,Edwards,0.471994966
ID,Boundary,30.9,16021,ID,Boundary,0.474083453
IN,Elkhart,42.5,18039,IN,Elkhart,0.727586687
IL,Macon,37.1,17115,IL,Macon,0.708634675
IL,Whiteside,35.3,17195,IL,Whiteside,0.622072577
ID,Twin Falls,36.5,16083,ID,Twin Falls,0.848310709
IL,Hancock,35.1,17067,IL,Hancock,0.459189534
IL,Grundy,35.1,17063,IL,Grundy,0.960916221
IL,Mercer,36.8,17131,IL,Mercer,0.394088656
HI,Kauai,22.8,15007,HI,Kauai,1.155168295
IL,Cumberland,37.2,17035,IL,Cumberland,0.375622123
IN,Blackford,37.5,18009,IN,Blackford,0.594126642
IN,Franklin,37.7,18047,IN,Franklin,0.702956796
ID,Bear Lake,33.6,16007,ID,Bear Lake,0.651147664
IL,Perry,39.5,17145,IL,Perry,0.580720067
ID,Kootenai,34.3,16055,ID,Kootenai,0.726727128
IN,Cass,40.3,18017,IN,Cass,0.748903394
IL,Rock Island,37.4,17161,IL,Rock Island,0.844528675
ID,Blaine,25.5,16013,ID,Blaine,1.109877944
IL,Lake,31.9,17097,IL,Lake,0.831900001
GA,Walton,35.8,13297,GA,Walton,0.547096789
GA,Oglethorpe,36.0,13221,GA,Oglethorpe,0.260027289
ID,Shoshone,34.8,16079,ID,Shoshone,0.387266666
IN,Fountain,39.0,18045,IN,Fountain,0.666222513
GA,Walker,41.8,13295,GA,Walker,0.356552005
ID,Madison,36.6,16065,ID,Madison,0.967309892
ID,Jefferson,37.2,16051,ID,Jefferson,0.359700471
IL,Jackson,39.0,17077,IL,Jackson,0.670489609
IL,Henry,34.7,17073,IL,Henry,0.495755106
ID,Elmore,36.5,16039,ID,Elmore,0.510055363
GA,Terrell,47.1,13273,GA,Terrell,0.586647868
GA,Wilkes,43.9,13317,GA,Wilkes,0.515782952
IL,Richland,37.4,17159,IL,Richland,0.838331103
IN,Dearborn,35.1,18029,IN,Dearborn,0.582048833
ID,Jerome,40.1,16053,ID,Jerome,0.569615126
GA,Whitfield,36.9,13313,GA,Whitfield,0.847482085
HI,Hawaii,26.0,15001,HI,Hawaii,0.786859453
IL,Bond,37.6,17005,IL,Bond,0.430451363
GA,Washington,43.0,13303,GA,Washington,0.645161271
IL,Christian,36.4,17021,IL,Christian,0.46765393
IN,Carroll,38.8,18015,IN,Carroll,0.444927812
GA,Lumpkin,35.1,13187,GA,Lumpkin,0.526531339
ID,Custer,32.8,16037,ID,Custer,1.176747441
IL,Ogle,35.9,17141,IL,Ogle,0.715620399
IL,Carroll,36.0,17015,IL,Carroll,0.351098925
IL,Kendall,36.4,17093,IL,Kendall,0.635343492
IL,Fayette,37.2,17051,IL,Fayette,0.564334095
IL,Logan,38.8,17107,IL,Logan,0.458020657
ID,Ada,28.7,16001,ID,Ada,0.768609941
IL,Randolph,37.7,17157,IL,Randolph,0.70173198
ID,Valley,33.5,16085,ID,Valley,1.356852055
ID,Bannock,36.8,16005,ID,Bannock,0.709499419
GA,Screven,42.3,13251,GA,Screven,0.428204387
GA,Rockdale,44.9,13247,GA,Rockdale,1.022663593
GA,Sumter,44.0,13261,GA,Sumter,0.819616139
IL,Warren,37.7,17187,IL,Warren,0.419262111
GA,Randolph,48.6,13243,GA,Randolph,0.598623157
ID,Minidoka,34.8,16067,ID,Minidoka,0.235671192
IL,Woodford,34.2,17203,IL,Woodford,0.525058389
ID,Bingham,41.1,16011,ID,Bingham,0.466081947
IL,Effingham,35.5,17049,IL,Effingham,1.115514517
